time,open,high,low,close,Volume,Volume MA
2021-04-06T00:00:00Z,7.998,8.423,7.461,7.751,49257.183,NaN
2021-04-07T00:00:00Z,7.751,8.045,6.579,7.296,232310.876,NaN
2021-04-08T00:00:00Z,7.296,7.945,7.269,7.715,13761.3437,NaN
2021-04-09T00:00:00Z,7.715,8.83,7.71,7.912,29023.2077,NaN
2021-04-10T00:00:00Z,7.912,8.069,7.309,7.529,55082.1132,NaN
2021-04-11T00:00:00Z,7.529,7.6,7.051,7.254,16961.3281,NaN
2021-04-12T00:00:00Z,7.254,9.233,7.219,7.677,126185.6037,NaN
2021-04-13T00:00:00Z,7.677,8.802,7.677,8.057,41455.9386,NaN
2021-04-14T00:00:00Z,8.057,8.057,7.113,7.669,142524.8777,NaN
2021-04-15T00:00:00Z,7.669,8.073,7.494,8.049,31857.6463,NaN
2021-04-16T00:00:00Z,8.049,8.081,7.118,7.438,146303.5379,NaN
2021-04-17T00:00:00Z,7.438,8.084,7.373,7.74,94298.4696,NaN
2021-04-18T00:00:00Z,7.74,7.744,5.882,6.659,184255.4124,NaN
2021-04-19T00:00:00Z,6.659,9.297,6.495,8.024,489639.5837,NaN
2021-04-20T00:00:00Z,8.024,11.277,7.913,8.543,1727445.9698,NaN
2021-04-21T00:00:00Z,8.543,9.28,7.992,8.198,272279.8143,NaN
2021-04-22T00:00:00Z,8.198,10.307,8.055,8.1,293859.0699,NaN
2021-04-23T00:00:00Z,8.1,8.331,5.97,7.414,467200.7751,NaN
2021-04-24T00:00:00Z,7.414,7.414,6.486,6.536,40845.6123,NaN
2021-04-25T00:00:00Z,6.536,7.181,6.12,6.566,34174.4751,224436.14190500005
2021-04-26T00:00:00Z,6.566,7.563,6.476,7.504,57782.9862,224862.43206500006
2021-04-27T00:00:00Z,7.504,9.047,7.444,8.548,117025.2842,219098.15247500004
2021-04-28T00:00:00Z,8.548,10.729,8.298,10.729,99558.0005,223387.98531500003
2021-04-29T00:00:00Z,10.729,10.891,9.401,10.151,46516.2752,224262.63869000002
2021-04-30T00:00:00Z,10.151,10.241,9.437,10.117,237097.6213,233363.41409500004
2021-05-01T00:00:00Z,10.117,10.29,9.428,9.721,31033.9884,234067.04711000007
2021-05-02T00:00:00Z,9.721,9.721,8.915,9.244,36408.0884,229578.17134500007
