time,open,high,low,close,Volume,Volume MA
2020-09-16T00:00:00Z,1.691,2.0561,1.6505,1.8082,21371.44542,NaN
2020-09-17T00:00:00Z,1.8082,1.854,1.7697,1.7843,1267.60956,NaN
2020-09-18T00:00:00Z,1.7843,1.8467,1.7,1.7178,13489.17823,NaN
2020-09-19T00:00:00Z,1.7178,1.8503,1.6502,1.7667,2891.29966,NaN
2020-09-20T00:00:00Z,1.7667,1.8778,1.7373,1.7699,4357.1626,NaN
2020-09-21T00:00:00Z,1.7699,1.7737,1.6251,1.7295,2028.03204,NaN
2020-09-22T00:00:00Z,1.7295,1.8077,1.6704,1.7254,239.87729,NaN
2020-09-23T00:00:00Z,1.7254,1.8414,1.7136,1.8032,27309.32757,NaN
2020-09-24T00:00:00Z,1.8032,6.6984,1.8024,2.34,317637.24499,NaN
2020-09-25T00:00:00Z,2.34,2.3551,1.9134,1.9199,10204.34132,NaN
2020-09-26T00:00:00Z,1.9199,1.9605,1.7694,1.8178,10072.43045,NaN
2020-09-27T00:00:00Z,1.8178,1.8308,1.5383,1.5425,8050.26627,NaN
2020-09-28T00:00:00Z,1.5425,1.9797,1.4936,1.6654,32155.75728,NaN
2020-09-29T00:00:00Z,1.6654,1.9399,1.5012,1.6488,10530.33657,NaN
2020-09-30T00:00:00Z,1.6488,1.6553,1.5185,1.569,756.45081,NaN
2020-10-01T00:00:00Z,1.569,1.7276,1.5048,1.5499,2183.35442,NaN
2020-10-02T00:00:00Z,1.5499,1.5665,1.5037,1.5244,10317.55947,NaN
2020-10-03T00:00:00Z,1.5244,1.5952,1.4494,1.4602,211.23423,NaN
2020-10-04T00:00:00Z,1.4602,1.4869,1.336,1.3706,793.7109,NaN
2020-10-05T00:00:00Z,1.3706,1.3821,1.2192,1.2376,308.99647,23808.7807775
2020-10-06T00:00:00Z,1.2376,1.2755,0.9802,0.9852,2124.67992,22846.442502500002
2020-10-07T00:00:00Z,0.9847,1.2373,0.9819,1.214,6592.90686,23112.7073675
2020-10-08T00:00:00Z,1.2153,1.3067,1.0946,1.3037,3449.56716,22610.726813999998
2020-10-09T00:00:00Z,1.3037,1.3393,1.2696,1.2861,1285.79857,22530.451759499996
2020-10-10T00:00:00Z,1.2861,1.5207,1.2834,1.4683,665.37626,22345.862442499994
2020-10-11T00:00:00Z,1.4683,1.4683,1.3604,1.3787,451.54775,22267.038227999998
2020-10-12T00:00:00Z,1.3787,1.4182,1.309,1.3677,193.94144,22264.7414355
2020-10-13T00:00:00Z,1.3677,1.3932,1.2926,1.3309,8091.48925,21303.849519499996
2020-10-14T00:00:00Z,1.3309,1.3508,1.2732,1.3413,316.74618,5437.824578999998
2020-10-15T00:00:00Z,1.3413,1.3608,1.3067,1.3282,340.27391,4944.621208499999
2020-10-16T00:00:00Z,1.3282,1.3298,1.1589,1.1687,195.7378,4450.786575999999
2020-10-17T00:00:00Z,1.1687,1.2122,1.1542,1.1829,149.74682,4055.760603499999
2020-10-18T00:00:00Z,1.1829,1.2415,1.1809,1.237,963.48061,2496.1467699999985
2020-10-19T00:00:00Z,1.237,1.2442,1.1594,1.1623,12.174,1970.2386414999987
2020-10-20T00:00:00Z,1.1623,1.1703,1.07,1.0881,130.20203,1938.9262024999985
2020-10-21T00:00:00Z,1.0881,1.1498,1.0858,1.1067,1876.90184,1923.6035734999982
2020-10-22T00:00:00Z,1.1067,1.1621,1.0948,1.1345,1381.725,1476.8118499999982
2020-10-23T00:00:00Z,1.1345,1.1472,1.0328,1.0561,141.68499,1473.3343879999984
2020-10-24T00:00:00Z,1.0568,1.0792,1.0259,1.0391,116.31393,1439.4645394999984
2020-10-25T00:00:00Z,1.0391,1.0618,0.9978,1.0471,2130.79616,1530.5545239999985
2020-10-26T00:00:00Z,1.0471,1.1432,1.0305,1.0478,2542.8456,1551.4628079999986
2020-10-27T00:00:00Z,1.0478,1.114,1.0394,1.0761,383.16108,1240.9755189999987
