time,open,high,low,close,Volume,Volume MA
2019-02-16T17:00:00Z,1.13,1.27,1.08,1.09,373838.20160582,159852.27257837853
2019-02-17T17:00:00Z,1.18,1.31,1.08,1.26,300235.69136915,166209.38550920953
2019-02-18T17:00:00Z,1.26,1.32,1.1,1.25,350054.49522936,175487.155421775
2019-02-19T17:00:00Z,1.29,1.3,1.15,1.23,240703.12262065,179671.90519408003
2019-02-20T17:00:00Z,1.24,1.25,1.18,1.2,168587.11179214,184557.512108199
2019-02-21T17:00:00Z,1.19,1.24,1.12,1.23,286523.32284069,195466.53868372552
2019-02-22T17:00:00Z,1.23,1.29,1.14,1.14,356283.59704957,212205.25574157952
2019-02-23T17:00:00Z,1.15,1.31,1.13,1.14,368505.31730382,228602.99662984497
2019-02-24T17:00:00Z,1.14,1.2,1.13,1.18,187445.64063991,235500.50115855
2019-02-25T17:00:00Z,1.17,1.75,1.14,1.52,182437.37960826,243826.25616971898
2019-02-26T17:00:00Z,1.52,1.73,1.28,1.28,460999.85574594,264676.479526049
2019-02-27T17:00:00Z,1.39,1.44,1.2,1.34,473262.03539831,284794.06139928696
2019-02-28T17:00:00Z,1.35,1.46,1.28,1.35,340993.03240951,295986.43653351447
2019-03-01T17:00:00Z,1.34,1.41,1.19,1.31,317183.33749871,306464.83500760247
2019-03-02T17:00:00Z,1.23,1.4,1.23,1.26,413060.37303231,316642.58052899444
2019-03-03T17:00:00Z,1.31,1.34,1.17,1.27,182016.8160628,313662.9113694519
2019-03-04T17:00:00Z,1.27,1.29,1.19,1.24,191029.86077318,316894.8368429219
2019-03-05T17:00:00Z,1.24,1.42,1.23,1.34,351691.99546293,313368.22156292386
2019-03-06T17:00:00Z,1.34,1.38,1.31,1.32,138343.39139068,302091.3754461034
2019-03-07T17:00:00Z,1.32,1.59,1.27,1.48,135725.38962273,290945.99837282335
2019-03-08T17:00:00Z,1.48,1.57,1.26,1.51,178895.50641096,281198.86361308035
2019-03-09T17:00:00Z,1.51,1.53,1.45,1.52,192012.95327603,275787.7267084244
2019-03-10T17:00:00Z,1.44,1.52,1.31,1.44,128995.18720324,264734.76130711834
2019-03-11T17:00:00Z,1.45,1.52,1.33,1.48,291465.81432954,267272.8958925629
2019-03-12T17:00:00Z,1.41,1.49,1.35,1.37,139280.27268462,265807.5539371869
2019-03-13T17:00:00Z,1.48,1.49,1.33,1.35,254765.56335316,264219.66596281045
2019-03-14T17:00:00Z,1.47,1.49,1.35,1.4,58203.47941839,249315.66008125147
2019-03-15T17:00:00Z,1.45,1.59,1.43,1.57,195097.71279545,240645.279855833
