timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.A,volume_transparency.C,volume_transparency.D
2021-11-28T00:00:00Z,6.59818192,6.64278830,6.31660603,6.38252288,65401284.57,6.59425144,6.63533346,6.30283387,6.37384248,19395259.41,19395259,222957,45783067
2021-11-27T00:00:00Z,6.56830904,6.92494370,6.50163527,6.57673091,253119222.22,6.56342121,6.91718049,6.49662062,6.57057073,90516341.13,90516341,118218790,44384090
2021-11-26T00:00:00Z,7.41545576,7.45305464,6.30536342,6.57123372,533267407.39,7.41015888,7.44105509,6.29651428,6.57025574,214168855.86,214168855,245599750,73498801
2021-11-25T00:00:00Z,6.63768369,7.59934483,6.56143118,7.40591616,532694849.69,6.63193109,7.59605253,6.56017879,7.40785203,234489061.49,234489061,230763118,67442669
2021-11-24T00:00:00Z,6.87334054,6.98805103,6.47232087,6.62616961,325604929.74,6.86811254,6.97972779,6.46337030,6.61518122,132510421.27,132510421,148530575,44563932
2021-11-23T00:00:00Z,6.52014333,7.04362822,6.31883042,6.91151869,285848603.57,6.51950874,7.05468567,6.32666048,6.92069162,113300326.83,113300326,127440332,45107944
2021-11-22T00:00:00Z,7.13018826,7.27893168,6.40725224,6.53472681,388312322.00,7.12569623,7.27223607,6.40387242,6.53270465,161540698.24,161540698,169924006,56847617
2021-11-21T00:00:00Z,6.72534798,7.22492058,6.62038989,7.12525690,337638088.93,6.72355812,7.22557327,6.61559686,7.12622271,138399823.51,138399823,155334028,43904236
2021-11-20T00:00:00Z,6.35960502,6.76108299,6.29250280,6.72829544,221805987.75,6.35540654,6.75850315,6.29342641,6.72495474,83093603.11,83093603,105151620,33560764
2021-11-19T00:00:00Z,5.99616023,6.43539285,5.88005989,6.37182910,253201976.35,5.99156286,6.43485897,5.87889701,6.36835623,97569159.26,97569159,113884020,41748796
2021-11-18T00:00:00Z,6.60381499,6.64886634,5.87340145,6.00129832,365800610.34,6.59893339,6.64003372,5.86736328,5.99553875,137818366.03,137818366,166893126,61089118
2021-11-17T00:00:00Z,6.28236937,6.65708614,6.08085159,6.61752894,324488290.17,6.27018252,6.65163357,6.07386749,6.61514192,123341983.74,123341983,149353116,51793189
2021-11-16T00:00:00Z,6.81201741,6.81201741,5.96401638,6.28516986,442992047.16,6.80933987,6.80933987,5.96253699,6.28055519,175021903.72,175021903,203908586,64061556
2021-11-15T00:00:00Z,7.06057276,7.14640770,6.79536593,6.81665246,193924790.10,7.05775071,7.14026944,6.79225384,6.81280781,71895687.07,71895687,92006245,30022857
